,Key,Team,League,Season,Rank,Games,Wins,Draws,Losses,Points,GoalsFor,GoalsAgainst,GoalDifference,Goals,Possession,PassSuccess,CrossesPerGame,ThroughBallsPerGame,LongBallsPerGame,ShortPassesPerGame,OpenPlayGoals,CounterAttackGoals,SetPieceGoals,PenaltyGoals,OwnGoals,TotalTacklesPerGame,DribbledPastPerGame,TotalAttemptedTacklesPerGame,InterceptionsPerGame,FouledPerGame,FoulsPerGame,YellowCardPerGame,RedCardPerGame,OffsidesPerGame,ClearancesPerGame,ShotsBlockedPerGame,CrossesBlockedPerGame,TiotalSavesPerGame,SixYardSavesPerGame,PenaltyAreaSavesPerGame,OutOfBoxSavesPerGame,TotalShotsPerGame,OutOfBoxShotsPerGame,SixYardBoxShotsPerGame,PenaltyAreaShotsPerGame,GoalsPerGame,SixYardGoalsPerGame,PenaltyAreaGoalsPerGame,OutOfBoxGoalsPerGame,UnsuccessfulDribblesPerGame,SuccessfulDribblesPerGame,TotalDribblesPerGame,DisspossedPergame,TotalAerialDuelsPerGame,AerialDuelsWonPerGame,AerialDuelsLostPerGame,TotalPassesPerGame,AccurateLongBallsPerGame,InAccurateLongBallsPerGame,AccShortPassesPerGame,InAccurateShortPassesPerGame,TotalKeyPassesPerGame,LongKeyPassesPerGame,ShortKeyPassesPerGame,CrossAssistPerGame,CornerAssistPerGame,ThroughballAssistPerGame,FreekickAssistPerGame,ThrowInAssistPergame,OtherAssistPerGame,TotalAssistPerGame,ShotsOnTarget,ShotsOnTargetAgainst,ShotsOnTargetPer90,ShotsOnTargetAgainstPer90,Touches,TouchesDefPen,TouchesDefThird,TouchesMidThird,TouchesAttThird,TouchesAttPen,LiveTouches,NumOfPlayersDribbledPast,Nutmegs,Controlled,DistMovedWithBall,ProgressiveDistMoved,ProgC,ProgressiveIntoFinalThird,ProgressiveInto18Yard,Miscontrols,MiscontrolsAfterTackle,ProgressivePassReceived
0,Chelsea DL 2009/2010,Chelsea,Premier League,2009/2010,1.0,38.0,27.0,5.0,6.0,86.0,103.0,32.0,71.0,103,56.9,82.5,29,7,61,444,63,8,17,11,4,20.3,5.3,25.6,18.6,12.3,12.4,1.4,0.1,2.5,27.8,2.7,2.0,1.9,0.0,1.1,0.8,21.9,9.9,1.7,10.4,2.6,0.7,1.7,0.2,8.7,8.6,17.3,13.2,23.7,11.6,12.1,503.3,36.1,24.0,379.0,64.2,16.8,3.7,13.1,0.7,0.1,0.3,0.0,0.0,0.9,1.9,241,113,6.342105263,2.973684211,,,,,,,,,,,,,,,,,,
1,Manchester United DL 2009/2010,Manchester United,Premier League,2009/2010,2.0,38.0,27.0,4.0,7.0,85.0,86.0,28.0,58.0,86,55.6,79.9,31,6,66,453,51,6,13,6,10,21.8,5.6,27.4,15.8,11.7,11.7,1.3,0.1,2.2,25.9,2.6,2.0,2.7,0.1,1.1,1.6,18.3,7.4,0.9,10.0,2.0,0.3,1.4,0.2,5.2,8.7,13.9,16.4,25.8,13.2,12.5,516.3,35.6,28.7,377.2,74.9,14.4,2.7,11.8,0.6,0.1,0.3,0.1,0.0,0.5,1.3,218,146,5.736842105,3.842105263,,,,,,,,,,,,,,,,,,
2,Tottenham DL 2009/2010,Tottenham,Premier League,2009/2010,4.0,38.0,21.0,7.0,10.0,70.0,67.0,41.0,26.0,67,52.2,76.1,24,3,79,345,42,6,17,2,0,22.2,6.2,28.4,21.2,13.2,12.2,1.5,0.0,3.1,35.8,3.4,2.5,3.4,0.1,2.1,1.3,17.9,8.5,1.2,8.3,1.8,0.4,1.1,0.2,7.7,9.0,16.6,13.6,31.7,18.2,13.4,417.1,44.3,31.2,272.9,68.7,13.6,3.4,10.2,0.4,0.1,0.2,0.1,0.0,0.6,1.3,202,178,5.315789474,4.684210526,,,,,,,,,,,,,,,,,,
3,Arsenal DL 2009/2010,Arsenal,Premier League,2009/2010,3.0,38.0,23.0,6.0,9.0,75.0,83.0,41.0,42.0,83,57.0,80.8,27,9,56,459,49,9,16,3,6,21.5,6.6,28.2,22.1,14.0,12.4,1.5,0.0,2.4,28.7,2.3,2.2,2.4,0.1,1.2,1.2,17.4,7.1,1.0,9.3,2.1,0.4,1.2,0.5,8.6,11.9,20.5,18.8,29.7,14.4,15.2,515.0,28.4,26.2,387.8,72.6,13.3,2.1,11.2,0.4,0.1,0.3,0.1,0.0,0.8,1.5,243,129,6.394736842,3.394736842,,,,,,,,,,,,,,,,,,
4,Aston Villa DL 2009/2010,Aston Villa,Premier League,2009/2010,6.0,38.0,17.0,13.0,8.0,64.0,52.0,39.0,13.0,52,48.5,71.8,27,2,65,294,23,4,16,5,4,23.2,7.4,30.5,18.2,11.4,13.4,1.6,0.1,2.1,40.3,5.9,2.4,3.2,0.1,1.4,1.6,13.1,5.1,1.3,6.7,1.3,0.4,0.7,0.2,7.2,4.9,12.1,13.7,34.4,18.8,15.6,354.8,30.5,32.3,224.4,67.6,9.6,3.0,6.6,0.3,0.1,0.1,0.0,0.0,0.5,0.9,167,186,4.394736842,4.894736842,,,,,,,,,,,,,,,,,,
5,Manchester City DL 2009/2010,Manchester City,Premier League,2009/2010,5.0,38.0,18.0,13.0,7.0,67.0,73.0,45.0,28.0,73,52.2,76.0,21,5,71,370,37,10,21,5,0,21.1,5.8,26.9,21.2,12.8,11.9,1.3,0.1,3.2,33.4,3.2,2.3,2.8,0.2,1.4,1.1,13.8,5.7,1.1,7.0,1.9,0.5,1.1,0.3,8.5,7.7,16.2,13.4,27.3,12.7,14.6,438.7,35.3,34.2,298.1,71.1,10.4,2.3,8.1,0.3,0.1,0.2,0.1,0.0,0.9,1.4,182,157,4.789473684,4.131578947,,,,,,,,,,,,,,,,,,
6,Liverpool DL 2009/2010,Liverpool,Premier League,2009/2010,7.0,38.0,18.0,9.0,11.0,63.0,61.0,35.0,26.0,60,55.8,78.5,27,4,72,429,37,4,14,3,3,25.2,6.6,31.8,20.1,12.8,12.2,1.4,0.1,1.6,28.8,2.1,1.9,2.6,0.2,1.4,1.1,16.9,7.8,1.4,7.7,1.6,0.4,0.9,0.2,10.5,8.1,18.6,12.9,28.1,13.0,15.0,496.5,40.4,29.9,349.4,76.8,12.3,2.2,10.1,0.2,0.0,0.2,0.1,0.0,0.7,1.1,204,139,5.3684210530000005,3.657894737,,,,,,,,,,,,,,,,,,
7,Everton DL 2009/2010,Everton,Premier League,2009/2010,8.0,38.0,16.0,13.0,9.0,61.0,60.0,49.0,11.0,60,51.2,75.0,27,3,72,333,32,2,17,5,4,20.2,5.7,25.9,21.8,14.3,13.4,1.5,0.1,2.5,42.1,3.6,3.5,3.0,0.1,1.4,1.4,15.5,7.1,1.0,7.4,1.6,0.4,0.9,0.2,4.8,5.8,10.6,15.8,32.2,16.2,15.9,399.9,33.6,36.4,266.3,63.6,11.4,3.2,8.2,0.4,0.1,0.1,0.1,0.0,0.6,1.0,192,170,5.052631579,4.473684211,,,,,,,,,,,,,,,,,,
8,Birmingham DL 2009/2010,Birmingham,Premier League,2009/2010,9.0,38.0,13.0,11.0,14.0,50.0,38.0,47.0,-9.0,38,47.7,67.2,19,3,76,293,17,4,14,2,1,20.7,7.3,28.0,20.4,13.2,11.9,1.9,0.0,2.6,39.4,5.1,3.2,3.4,0.2,1.6,1.6,11.9,5.2,1.1,5.6,1.0,0.3,0.4,0.2,8.0,6.3,14.3,11.7,35.1,16.9,18.1,367.4,29.7,45.3,217.2,75.3,8.2,1.8,6.4,0.2,0.0,0.1,0.0,0.0,0.4,0.7,122,208,3.210526316,5.473684211,,,,,,,,,,,,,,,,,,
9,Sunderland DL 2009/2010,Sunderland,Premier League,2009/2010,13.0,38.0,11.0,11.0,16.0,44.0,48.0,56.0,-8.0,48,47.3,65.9,23,4,72,269,25,6,9,6,2,23.4,6.9,30.3,21.8,11.8,14.6,2.0,0.2,2.4,43.2,4.3,2.8,3.2,0.4,1.7,1.1,11.7,5.2,0.7,5.7,1.3,0.3,0.8,0.1,6.2,5.7,11.9,14.1,36.1,18.9,17.2,339.7,29.0,41.6,195.0,74.1,7.9,2.2,5.7,0.4,0.0,0.1,0.0,0.0,0.3,0.8,159,199,4.184210526,5.236842105,,,,,,,,,,,,,,,,,,
